board,repo,category,original,verdict,reviewer,selection_seed,evidence,reason
bench2drive,https://github.com/George-Ling3/BLUE,manual_control_override,yes,yes,independent_review_v2,20260924,"repos/bench2drive__blue/team_code/agent_simlingo.py:861-879,897; team_code/config_simlingo.py:13-15",闭环 agent 在速度低于 0.1 且卡住计数超过阈值后，连续 15 帧强制油门至少 0.4 并取消刹车，覆盖控制输出。
nuscenes,https://github.com/MSunDYY/SparseOccVLA,ego_state_fusion,yes,yes,independent_review_v2,20260924,"repos/nuscenes__sparseoccvla/projects/configs/SparseOccVLA/sparseoccvla_stage3_4d_600q_forecasting.py:191-211; projects/mmdet3d_plugin/models/detectors/sparseoccvla.py:691,725-766",测试管线保留视觉、can_bus、temporal_ego_states；规划头将直接 ego 状态与视觉特征合并。
nuscenes,https://github.com/E2E-AD/AD-MLP,ego_only_open_loop_planning,yes,yes,independent_review_v2,20260924,"repos/nuscenes__ad_mlp/pytorch/admlp/planner.py:178-186,203-227,245-271; README.md:31-34",三秒开环规划从预制 21 维 ego/命令特征进入 MLP；关键推理路径不读相机或 LiDAR。
navsim_v2,https://github.com/NVlabs/GTRS,metric_proxy_candidate_selection,yes,yes,independent_review_v2,20260924,repos/navsim_v2__gtrs/navsim/agents/gtrs_aug/hydra_loss_fn_aug.py:55-70; navsim/agents/gtrs_aug/hydra_model.py:263-307,PDM 子分数监督评分头；推理时对已生成的候选估计子分数并取代理总分最高者。
navsim_v2,https://github.com/valeoai/TOAD,metric_proxy_test_search,yes,yes,independent_review_v2,20260924,repos/navsim_v2__toad/navsim/planning/script/config/common/agent/drivoR.yaml:43-55; navsim/agents/drivoR/drivor_model.py:352-392,实际配置开启 CEM；推理循环反复采样并 rollout 新轨迹，用预测 PDM 子分数及正则项选精英、更新分布。
nuscenes,https://github.com/E2E-AD/AD-MLP,future_label_conditioning,yes,yes,independent_review_v2,20260924,"repos/nuscenes__ad_mlp/pytorch/admlp/stp3/datas/NuscenesData.py:505-532,626-629; pytorch/admlp/planner.py:245-271; papers/ad_mlp.pdf PDF p.2",数据代码和论文显示命令由同样本未来位移生成，并进入 21 维规划输入；公开的预制推理 pkl 缺逐字段来源，结论应降置信度。
bench2drive,https://github.com/kesai-labs/lead,simulator_protocol_dependency,no,no,independent_review_v2,20260924,repos/bench2drive__tfv6/slurm/evaluate.sh:13-23; lead/inference/sensor_agent.py:525-549,提交入口是 sensor_agent，直接输出 VehicleControl；未见共享模拟器轨迹转车控实现被此方法评测入口修补。
navsim_v2,https://github.com/valeoai/TOAD,offline_candidate_library,no,no,independent_review_v2,20260924,"repos/navsim_v2__toad/navsim/planning/script/config/common/agent/drivoR.yaml:11-12; navsim/agents/drivoR/drivor_model.py:88-93,171-181,334-345",64 条初始轨迹由可学习 query 和网络产生，CEM 在线生成新轨迹；未见源域轨迹离线聚类固定词表。
nuscenes,https://github.com/E2E-AD/AD-MLP,benchmark_target_shaping,no,no,independent_review_v2,20260924,"repos/nuscenes__ad_mlp/pytorch/admlp/planner.py:47-78,199-240",监督目标仍是 pkl 的普通未来 gt；0.5 米同格误差折半属于栅格损失调权，未改变监督终点或时距。
wod_e2e,https://github.com/vita-epfl/RAP,benchmark_target_shaping,no,no,independent_review_v2,20260924,repos/wod_e2e__rap/navsim/agents/pad/pad_features.py:113-129; navsim/agents/pad/pad_agent.py:445-501,轨迹损失对固定采样的真实未来做最小距离拟合；RFS 用于评分头标签，未见为 WOD 协议手改未来目标。
bench2drive,https://github.com/swc-17/SparseDriveV2,inference_failure_brake_fallback,no,no,independent_review_v2,20260924,"repos/bench2drive__sparsedrivev2_b2d/leaderboard/team_code/sparsedrive_b2d_agent.py:399-405,491-532",run_step 从模型轨迹经 PID 输出 VehicleControl；关键路径没有推理异常时发送制动轨迹的分支。
navsim_v1,https://github.com/vita-epfl/RAP,metric_reward_finetuning,no,no,independent_review_v2,20260924,repos/navsim_v1__rap/navsim/agents/pad/pad_agent.py:452-529,PDM/RFS 函数生成评分头监督并以 BCE 拟合；策略轨迹本身用模仿损失，未见榜单计分函数作策略微调奖励。
hugsim,https://github.com/hyzhou404/UniAD_SIM,simulator_pose_access,no,no,independent_review_v2,20260924,"repos/hugsim__uniad/tools/closeloop/e2e.py:219-249,270-277; tools/closeloop/dataparser.py:22-27,57-68",客户端从 FIFO 接收 obs/info，确实把 info 中的 ego_pos/ego_rot 作变换，但没有直接访问仿真器 world/actor；按本类严格判据不计。
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,offline_candidate_library,no,no,independent_review_v2,20260924,"repos/navsim_v1__drivevla_m0/navsim/agents/EpisodeDrive/action_decoder.py:154-169,198-213; README.md:42-54",记忆模块检索失败案例用于适配；推理候选由可学习 query/轨迹头产生，未见源域轨迹聚类的大型固定库。
