judge,vlm,n,variant,group,axis
accelerate,accelerate,2,VLM Qwen3-VL-4B main,pre_onset,long
accelerate,keep,321,VLM Qwen3-VL-4B main,pre_onset,long
accelerate,slow,7,VLM Qwen3-VL-4B main,pre_onset,long
accelerate,stop,25,VLM Qwen3-VL-4B main,pre_onset,long
keep,accelerate,0,VLM Qwen3-VL-4B main,pre_onset,long
keep,keep,637,VLM Qwen3-VL-4B main,pre_onset,long
keep,slow,53,VLM Qwen3-VL-4B main,pre_onset,long
keep,stop,31,VLM Qwen3-VL-4B main,pre_onset,long
slow,accelerate,0,VLM Qwen3-VL-4B main,pre_onset,long
slow,keep,232,VLM Qwen3-VL-4B main,pre_onset,long
slow,slow,114,VLM Qwen3-VL-4B main,pre_onset,long
slow,stop,0,VLM Qwen3-VL-4B main,pre_onset,long
stop,accelerate,0,VLM Qwen3-VL-4B main,pre_onset,long
stop,keep,17,VLM Qwen3-VL-4B main,pre_onset,long
stop,slow,15,VLM Qwen3-VL-4B main,pre_onset,long
stop,stop,4,VLM Qwen3-VL-4B main,pre_onset,long
keep_lane,keep_lane,23,VLM Qwen3-VL-4B main,pre_onset,lat
keep_lane,nudge_left,0,VLM Qwen3-VL-4B main,pre_onset,lat
keep_lane,turn_left,0,VLM Qwen3-VL-4B main,pre_onset,lat
keep_lane,turn_right,0,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_left,keep_lane,145,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_left,nudge_left,0,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_left,turn_left,1,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_left,turn_right,0,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_right,keep_lane,241,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_right,nudge_left,1,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_right,turn_left,0,VLM Qwen3-VL-4B main,pre_onset,lat
lane_change_right,turn_right,5,VLM Qwen3-VL-4B main,pre_onset,lat
nudge_left,keep_lane,57,VLM Qwen3-VL-4B main,pre_onset,lat
nudge_left,nudge_left,1,VLM Qwen3-VL-4B main,pre_onset,lat
