dataset,route,variant,seed,attempt,official_status,completion,collisions,status,source,rows,truth_rows,longitudinal_mode,steer_limit,lookahead,reference
G2-v4,17563,pi/carla,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/17563/pi/carla/control.jsonl,557,557,pi,0.8,additive,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit/route_reference.json
G2-v4,17563,pi/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/17563/pi/pursuit/control.jsonl,558,558,pi,0.8,additive,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit/route_reference.json
G2-v4,17563,pi-max/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit/control.jsonl,559,559,pi,0.8,max,/data/runs/b2d/controller/development-v4/17563/pi-max/pursuit/route_reference.json
G2-v4,24240,pi/carla,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/24240/pi/carla/control.jsonl,437,437,pi,0.8,additive,/data/runs/b2d/controller/development-v4/24240/pi-max/pursuit/route_reference.json
G2-v4,24240,pi/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/24240/pi/pursuit/control.jsonl,433,433,pi,0.8,additive,/data/runs/b2d/controller/development-v4/24240/pi-max/pursuit/route_reference.json
G2-v4,24240,pi-max/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/24240/pi-max/pursuit/control.jsonl,434,434,pi,0.8,max,/data/runs/b2d/controller/development-v4/24240/pi-max/pursuit/route_reference.json
G2-v4,25854,pi/carla,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/25854/pi/carla/control.jsonl,521,521,pi,0.8,additive,/data/runs/b2d/controller/development-v4/25854/pi-max/pursuit/route_reference.json
G2-v4,25854,pi/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/25854/pi/pursuit/control.jsonl,522,522,pi,0.8,additive,/data/runs/b2d/controller/development-v4/25854/pi-max/pursuit/route_reference.json
G2-v4,25854,pi-max/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/25854/pi-max/pursuit/control.jsonl,522,522,pi,0.8,max,/data/runs/b2d/controller/development-v4/25854/pi-max/pursuit/route_reference.json
G2-v4,26966,pi/carla,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/26966/pi/carla/control.jsonl,373,373,pi,0.8,additive,/data/runs/b2d/controller/development-v4/26966/pi-max/pursuit/route_reference.json
G2-v4,26966,pi/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/26966/pi/pursuit/control.jsonl,382,382,pi,0.8,additive,/data/runs/b2d/controller/development-v4/26966/pi-max/pursuit/route_reference.json
G2-v4,26966,pi-max/pursuit,,1,G2 diagnostic,,,read,/data/runs/b2d/controller/development-v4/26966/pi-max/pursuit/control.jsonl,387,387,pi,0.8,max,/data/runs/b2d/controller/development-v4/26966/pi-max/pursuit/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,17569,carla,0,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/17569/1/control.jsonl,329,329,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,2091,carla,0,1,Completed,100,3,read,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/2091/1/control.jsonl,3882,3882,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,27494,carla,0,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/27494/1/control.jsonl,471,471,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,28198,carla,0,1,Completed,100,0,read,/data/runs/b2d/controller/formal-v4/carla-seed0/attempts/28198/1/control.jsonl,252,252,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,17569,carla,1,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/17569/1/control.jsonl,329,329,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,2091,carla,1,1,Failed - TickRuntime,60.64,4,read,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/2091/1/control.jsonl,4000,4000,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,27494,carla,1,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/27494/1/control.jsonl,471,471,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,28198,carla,1,1,Completed,100,0,read,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/28198/1/control.jsonl,252,252,pi,0.8,additive,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,17569,pursuit,0,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/control.jsonl,330,330,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,2091,pursuit,0,1,Failed - TickRuntime,79.01,2,read,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/control.jsonl,4000,4000,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,27494,pursuit,0,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/control.jsonl,474,474,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,28198,pursuit,0,1,Completed,100,0,read,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/control.jsonl,255,255,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,17569,pursuit,1,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/17569/1/control.jsonl,330,330,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,2091,pursuit,1,1,Failed - TickRuntime,79.01,2,read,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/2091/1/control.jsonl,4000,4000,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,27494,pursuit,1,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/27494/1/control.jsonl,474,474,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,28198,pursuit,1,1,Completed,100,0,read,/data/runs/b2d/controller/formal-v4/pursuit-seed1/attempts/28198/1/control.jsonl,255,255,pi,0.8,max,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,17569,tcp,0,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/17569/1/control.jsonl,334,334,vendor,0.8,fixed4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,2091,tcp,0,2,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/2091/2/control.jsonl,288,288,vendor,0.8,fixed4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,27494,tcp,0,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/27494/1/control.jsonl,473,473,vendor,0.8,fixed4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,28198,tcp,0,1,Completed,100,0,read,/data/runs/b2d/controller/formal-v4/tcp-seed0/attempts/28198/1/control.jsonl,259,259,vendor,0.8,fixed4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,17569,tcp,1,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/17569/1/control.jsonl,334,334,vendor,0.8,fixed4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/route_reference.json
Dev10-v4-pursuit-seed0-attempt1,2091,tcp,1,1,Completed,100,1,read,/data/runs/b2d/controller/formal-v4/tcp-seed1/attempts/2091/1/control.jsonl,288,288,vendor,0.8,fixed4,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/route_reference.json
