board,repo,category,original,verdict,reviewer,selection_seed,evidence,reason
bench2drive,https://github.com/George-Ling3/BLUE,manual_control_override,yes,yes,independent_review_acceptance,20260924,"BLUE gate/evaluation/eval_blue_full.sh:23,237-254; team_code/agent_simlingo.py:861-879; config_simlingo.py:13-15; blue.pdf Table 1",正式闭环agent在车速低于0.1持续逾800帧后覆盖PID：油门至少0.4并取消制动；论文未单列分数效应。
navsim_v1,https://github.com/ZebinX/DriveVLA-M0,metric_proxy_candidate_selection,yes,yes,independent_review_acceptance,20260924,DriveVLA-M0 action_decoder.py:179-214; episode_drive_loss.py:187-219; run_create_submission_pickle.py:79-87; drivevla_m0.pdf §3.1,PDM子分数监督评分头；提交从64条在线候选按预测聚合分argmax。直接PDMS CPU入口另有字段名缺陷。
navsim_v2,https://github.com/valeoai/DrivoR,metric_proxy_candidate_selection,yes,yes,independent_review_acceptance,20260924,DrivoR drivor_model.py:175-203; drivor_loss.py:187-230; agent_lightning_module.py:127-145; drivor.pdf §3.4,预测PDM子分数对固定候选排序，最终输出最高分轨迹；v2评测命令设定聚合权重。
navsim_v2,https://github.com/NVlabs/GTRS,manual_scorer_reweighting,yes,yes,independent_review_acceptance,20260924,"GTRS docs/gtrs_inference.md:51-79,83-115; gtrs_dense/hydra_model.py:311-328; gtrs_aug/hydra_model.py:289-307; gtrs.pdf §3",Navhard scorer流程以手写系数重排静态库与扩散候选，包含模仿项且偏离EPDMS默认聚合；不推断曾在测试集调参。
nuscenes,https://github.com/E2E-AD/AD-MLP,future_label_conditioning,yes,yes,independent_review_acceptance,20260924,"AD-MLP stp3/datas/NuscenesData.py:505-532,626-629; planner.py:245-271; eval_weight.py:42-50; ad_mlp.pdf §2.1",论文明确用未来三秒横向位移生成转向标签，评测模型读取预制21维特征；预制pkl字段来源未公开。
navsim_v2,https://github.com/valeoai/TOAD,metric_proxy_test_search,yes,yes,independent_review_acceptance,20260924,"TOAD README.md:135-179; drivoR.yaml:43-55; drivor_model.py:225-249,352-393; agent_lightning_module.py:88-110; toad.pdf §3.2",正式v2评测启用5轮64样本CEM，以预测PDM子分数反复评估新轨迹并可输出收敛均值。
nuscenes,https://github.com/E2E-AD/AD-MLP,metric_grid_alignment,yes,yes,independent_review_acceptance,20260924,"AD-MLP planner.py:47-50,64-78,234-243; train.py:68-71; stp3/planning_metrics.py:194-204; ad_mlp.pdf §2.2",训练L1对同一0.5m栅格内误差折半，对齐评测占用栅格尺度；论文明确写出动机。
bench2drive,https://github.com/swc-17/SparseDriveV2,inference_failure_brake_fallback,no,no,independent_review_acceptance,20260924,"SparseDriveV2 sparsedrive_b2d_agent.py:399-404,489-532; scenario_manager.py:185-199; sparsedrivev2.pdf Appendix A",正式agent推理和PID后直接返回控制；异常由场景管理器停止路线，未见发送制动轨迹继续计分。
navsim_v1,https://github.com/vita-epfl/RAP,metric_reward_finetuning,no,no,independent_review_acceptance,20260924,"RAP navsim_v1 README.md:139-155; pad_agent.py:254-255,365-387,419-472,490-533; pad_model.py:155-167; rap.pdf §4 Training",PDMS计分器对detach候选产监督标签，策略用轨迹模仿损失，评分头用BCE；未以榜单计分函数作策略奖励微调。
hugsim,https://github.com/hyzhou404/UniAD_SIM,simulator_pose_access,no,no,independent_review_acceptance,20260924,"UniAD_SIM tools/closeloop/e2e.py:231-249; dataparser.py:22-27,57-68,91-105; uniad.pdf §2.4",FIFO协议info里的世界系ego位姿进入can_bus和l2g；固定agent未直接查询仿真器world/actor，未满足精确判据。
