model,head,seed,i3_ok,wod_ok,pass
cinque,M-C pair,0,True,False,False
cinque,M-C pair,1,True,False,False
cinque,M-C pair,2,True,False,False
cinque,M-C hard,0,True,False,False
cinque,M-C hard,1,False,False,False
cinque,M-C hard,2,True,False,False
cinque,M-C uniform,0,True,False,False
cinque,M-C uniform,1,True,False,False
cinque,M-C uniform,2,True,False,False
cinque,student A,0,True,True,True
cinque,student A,1,True,False,False
cinque,student A,2,True,False,False
cinque,student B,0,True,False,False
cinque,student B,1,True,False,False
cinque,student B,2,False,False,False
lebowski,M-C pair,0,True,False,False
lebowski,M-C pair,1,True,False,False
lebowski,M-C pair,2,False,False,False
lebowski,M-C hard,0,False,False,False
lebowski,M-C hard,1,False,False,False
lebowski,M-C hard,2,False,False,False
lebowski,M-C uniform,0,True,False,False
lebowski,M-C uniform,1,False,False,False
lebowski,M-C uniform,2,True,False,False
lebowski,student A,0,True,True,True
lebowski,student A,1,True,False,False
lebowski,student A,2,True,True,True
lebowski,student B,0,True,True,True
lebowski,student B,1,True,True,True
lebowski,student B,2,False,True,False
