board,rank,method,family,primary_metric,score,secondary,date,source,code,weights,license,inputs,hack_mechanisms,in_base204,newly_added,notes
bench2drive,1,BridgeDrive (LEAD),TransFuser-LEAD (autonomousvision/kesai-labs),DS,96.34,SR 89.25,2026-03,"https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24); arXiv 2509.23589v4 Table 3 (96.34±0.55 / 89.25±0.50)",yes https://github.com/ShuLiu-ETHZ/BridgeDrive (BridgeDrive_adaptation_LEAD),yes https://huggingface.co/liushu-ethz/BridgeDrive (m1/m2 .pth; card does not say which file gives 96.34),no license file in repo; HF card no license,3 cam (LEAD CARLA_LEADERBOARD2_3CAMERAS config) + LiDAR; radar not verified; route target point,"control_interface_selection; manual_control_override (documented in code, not formally audited: eval script sets steer_modality=route throttle/brake_modality=target_speed; closed-loop config creep after 1100 frames at throttle 0.4)",no,yes,"Leaderboard entry added 2026-09-24 12:50 UTC (commit 'Add BridgeDrive (Trained with TFv6 LEAD expert)'), i.e. after the 2026-09-24 snapshot: this is the #1 the previous audit missed. Lineage: post-trains from TFv6 checkpoint (posttrain_bridgedrive.sh load_file=data/lead_ckpt/tfv6/model_0030_1.pth) inside the LEAD codebase, TF++ perception backbone; authors Bosch. PDM-Lite-trained BridgeDrive = 87.99/74.99 (v4) and 86.87/72.27 (older leaderboard row)."
bench2drive,2,TFv6,TransFuser-LEAD (autonomousvision/kesai-labs),DS,95.28,SR 86.81,2025-12,"https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24); arXiv 2512.20563 Table 5 (RegNetY-032 140C+L+R: 95.2/86.8)",yes https://github.com/kesai-labs/lead (branch cvpr2026 for the paper),"yes https://huggingface.co/ln2697/tfv6 (tfv6_regnety032, 3 seeds)",MIT,140deg cameras + LiDAR + 4 radar (best row); 360C variants 91.6-95.0,control_interface_selection; manual_control_override (audit B2D-TFV6-001/002/003),yes,no,"Other Table-5 configs: R34 140C+L+R 94.7/82.1, 360C+L+R 95.0/84.3, 360C+L 94.7/85.6, 360C+R 94.2/85.3, 360C 91.6/79.5. LEAD main-branch docs/speed.md reports 93.6±1.0 for the v1.4.0 dataset (different pipeline). Thinklab Bench2Drive README lists LEAD 95.59/87.28 under Bench2Drive v0.0.4 (different evaluator version)."
bench2drive,3,LinkVLA,SimLingo,DS,91.01,SR 74.55,2026-03,"https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24); arXiv 2603.01441 Table (Bench2Drive main table)",no (no repo found on GitHub search; paper has no code statement),no,not found,"1 front cam (InternViT-300M, InternVL2-1B)",not audited (no code),no,no,"Lineage: builds on SimLingo recipe and InternVL2-1B backbone per paper; authors Li Auto. Protocol details (tick cap, route file) not stated."
bench2drive,4,FIVE-VLA,SimLingo,DS,90.95,SR 77.27,2026-09,"arXiv 2609.18623 Table 1 (mean of 3 eval seeds); https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24)",no (no repo found),no,not found,1 front cam 448x896 (single-view); 4-view variant only on PhysicalAI-AV,not audited (no code),no,no,"Lineage: trained on SimLingo dataset (PDM-Lite), compared against SimLingo; backbone FastVLM+Qwen2 (not InternVL), author A. Buburuzan also active in simlingo#44. Counted in SimLingo family per brief; codebase identity unverified."
bench2drive,5,SteerVLA,SimLingo,DS,90.71,SR 73.64,2026-02,"arXiv 2602.08440 Table 1 (DS 90.71; SR from paper Table 3 p.21 per base w2); leaderboard lists DS 91, SR '-'",no (project page https://steervla.github.io only),no,not found,"1 front cam + ego history (speed, heading 6 s)",not audited (no code),yes,no,Leaderboard rounds DS to 91 which places it above FIVE-VLA; paper value 90.71 puts it 5th. Low-level policy follows SimLingo recipe on InternVL2-1B; high-level uses Gemini 2.5 Flash-Lite labels. Stanford/Berkeley.
bench2drive,6,BLUE,SimLingo,DS,90.58,SR 76.18,2026-06,"arXiv 2606.08684v2 Table 1 (90.58±0.12 / 76.18±0.64); https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24)",yes https://github.com/George-Ling3/BLUE,yes https://huggingface.co/George-Ling/blue_gate (gate) + SimLingo backbone https://huggingface.co/RenzKa/simlingo,Apache-2.0,1 front cam (SimLingo),"manual_control_override (audit B2D-BLUE-001); evaluator 4000-tick cap commented out (Bench2Drive/leaderboard/leaderboard/scenarios/scenario_manager.py L182-183, inherited from SimLingo, see simlingo#44; not a taxonomy code)",no,no,Gate on frozen SimLingo hidden states; in 2026-09-24 sampling (rank 5). Evaluation logs published on HF.
bench2drive,7,RoG-DAgger,SimLingo,DS,90.34,SR 73.51,2026-08,"arXiv 2608.24525 Table 1; https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24)",no (no repo found),no,not found,1 front cam 110deg FOV,not audited (no code),yes,no,Post-training of SimLingo (Bosch/Uni Wuppertal). Protocol (tick cap / SimLingo Bench2Drive folder) not stated in paper.
bench2drive,8,TakeVLA,SimLingo,DS,89.72,SR 73.73,2026-03,"arXiv 2603.14972 Table 1; https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24)",no (no repo found),no,not found,1 front cam 448x896,not audited (no code),no,yes,Explicitly adopts SimLingo as baseline and weights (post-training with takeover data). CASIA.
bench2drive,9,AutoMoT+ (with Action Refiner),"AutoMoT (NTU, Chen Lv group)",DS,89.42,SR 74.09,2026-03,"arXiv 2603.14851 (v3) Bench2Drive table; https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24) (ICML 2026)",partial https://github.com/OscarHuangWind/AutoMoT (branch release; B2D inference + training; Action Refiner not released),partial https://huggingface.co/Oscar-Huang/AutoMoT (base AutoMoT; Action Refiner not released),Apache-2.0 (HF card); repo no license file,camera + LiDAR (C/L per paper); Qwen3-VL-4B,"manual_control_override (documented in code, not formally audited: mot_b2d_agent.py creep after 300 frames + 'ParkingEscape' steer/throttle override L1190-1208); tick cap kept",no,yes,Base AutoMoT without refiner 87.34/70.00. Trained on PDM-Lite data only.
bench2drive,10,SparseDriveV2,SparseDrive (swc-17 lineage),DS,89.15,SR 70.00,2026-03,"arXiv 2603.29163 Table 4; https://github.com/autonomousvision/Bench2Drive-Leaderboard (README, last updated 2026-09-24)",yes https://github.com/swc-17/SparseDriveV2 (branch bench2drive),yes https://huggingface.co/wenchaosun/SparseDriveV2 (sparsedrive_small_b2d_stage2.pth),Apache-2.0,6 cam,simulator_pose_access (audit B2D-SPARSE-001); tick cap kept,yes,no,Separate NAVSIM and B2D training.
