arm,vs,axis,n,acc,lo,hi
log (the judge itself),rater_best,long,478,0.6820083682008368,0.6401339523589067,0.7232704402515723
log (the judge itself),rater_best,lat3,478,0.8138075313807531,0.779874213836478,0.8476071024704245
log (the judge itself),any rater traj scored >= 7,joint,476,0.7794117647058824,0.7426643377805847,0.8168421052631579
"continuation (stop if stopped, else keep; keep_lane)",rater_best,long,478,0.5251046025104602,0.4801649356844929,0.5720326019878941
"continuation (stop if stopped, else keep; keep_lane)",rater_best,lat3,478,0.5815899581589958,0.5355648535564853,0.6268343815513627
"continuation (stop if stopped, else keep; keep_lane)",any rater traj scored >= 7,joint,476,0.453781512605042,0.40582660105435825,0.4989561586638831
"ego kinematic (CTRA extrapolation, same judge)",rater_best,long,478,0.5397489539748954,0.49372384937238495,0.5849184355345912
"ego kinematic (CTRA extrapolation, same judge)",rater_best,lat3,478,0.5690376569037657,0.5260712476306112,0.610062893081761
"ego kinematic (CTRA extrapolation, same judge)",any rater traj scored >= 7,joint,476,0.5273109243697479,0.4842105263157895,0.571451033243486
route command (CTRA long; lateral = intent),rater_best,long,478,0.5397489539748954,0.49372384937238495,0.5849184355345912
route command (CTRA long; lateral = intent),rater_best,lat3,478,0.6443514644351465,0.600407949790795,0.6855510381305755
route command (CTRA long; lateral = intent),any rater traj scored >= 7,joint,476,0.47058823529411764,0.4222689075630252,0.5136842105263157
VLM Qwen3-VL-4B main,rater_best,long,478,0.48535564853556484,0.44166666666666665,0.5304228836083261
VLM Qwen3-VL-4B main,rater_best,lat3,478,0.6380753138075314,0.5941324529288703,0.6820083682008368
VLM Qwen3-VL-4B main,any rater traj scored >= 7,joint,476,0.42857142857142855,0.38571197346863273,0.4738444223766964
VLM Qwen3-VL-4B text,rater_best,long,478,0.4435146443514644,0.39748953974895396,0.4853810864626369
VLM Qwen3-VL-4B text,rater_best,lat3,478,0.6380753138075314,0.5928805871716705,0.6813583853056498
VLM Qwen3-VL-4B text,any rater traj scored >= 7,joint,476,0.35714285714285715,0.31025256537570345,0.3979054396998786
