id,board,method,category,design_disclosed,reported_score_effect,source,disclosure_scope,code_status,code_status_date,code_status_source,notes
W5-001,bench2drive,LinkVLA,language_action_alignment_training,共享离散 action/language codebook，并用轨迹描述的反向辅助目标对齐语言和动作,Table 5：tokenization 后 DS 85.07→89.57；再加 alignment 89.85→91.01,"https://arxiv.org/pdf/2603.01441#page=8 (Table 5; §3.1–3.2 pp.4–5, PDF p.8); https://arxiv.org/pdf/2603.01441#page=3; https://arxiv.org/pdf/2603.01441#page=4; https://arxiv.org/pdf/2603.01441#page=5",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LinkVLA&type=repositories,逐级消融，后一增益以已启用 C2F 为基线；不能将多项差值相加成独立效应
W5-002,bench2drive,LinkVLA,efficient_action_decoding,先预测轨迹终点，再并行细化轨迹，替代逐 token 自回归输出,Table 5：启用 C2F DS 89.57→89.85；SR 73.18→72.27；论文另报推理时间,"https://arxiv.org/pdf/2603.01441#page=8 (Table 5; Table 2 p.7, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LinkVLA&type=repositories,同一模型训练配置是否一致需看实验设置
W5-003,bench2drive,LinkVLA,output_representation,轨迹离散 token 的 soft label 考虑邻近 token,Table 6：DS 90.85→91.01，SR 72.73→74.55,"https://arxiv.org/pdf/2603.01441#page=8 (Table 6, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LinkVLA&type=repositories,
W5-004,bench2drive,LinkVLA,navigation_input_conditioning,推理导航输入条件比较 GPS target points 与 navigation commands,Table 7：GPS DS 91.01/SR 74.55；命令 DS 91.25/SR 73.18,"https://arxiv.org/pdf/2603.01441#page=8 (Table 7, PDF p.8)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=LinkVLA&type=repositories,两个指标方向不同，不判哪种更好
W5-005,bench2drive,SteerVLA,hierarchical_semantic_control,高层 VLM 根据图像、车况与路由输出 meta-action/理由，低层 VLA 按语义指令预测 waypoint,Table 1 给组件消融；正文报告整体 DS 91.00,"https://arxiv.org/pdf/2602.08440#page=6 (Fig. 2; Table 1, PDF p.6)",仅论文披露，无代码可核,项目页标注 Code (Coming Soon)，仅项目网页仓库,2026-09-24,https://steervla.github.io/,高层推理延迟论文报 2.51 s，实际部署效应留综合阶段
W5-006,bench2drive,SteerVLA,language_action_alignment_training,用 VLM 对驾驶轨迹生成密集、事后可得的细粒度语义动作标签，训练高低层接口,Table 1 对比组件；正文称标签对 steerability 有明显作用,"https://arxiv.org/pdf/2602.08440#page=5 (§4.2; Fig. 2, PDF p.5)",仅论文披露，无代码可核,项目页标注 Code (Coming Soon)，仅项目网页仓库,2026-09-24,https://steervla.github.io/,训练标签引用轨迹；未见测试时未来真值输入证据
W5-007,bench2drive,FIVE-VLA,pretrained_backbone,FastViTHD 高分辨率视觉编码器替换 InternViT，降低视觉 token 数,Table 7：DS 85.88→88.49，SR 68.18→73.03；T4 fps 0.50→2.20,"https://arxiv.org/pdf/2609.18623#page=11 (Table 7, PDF p.11)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=FIVE-VLA&type=repositories,与 SimLingo 原骨干对照；组件与模型规模同时变化
W5-008,bench2drive,FIVE-VLA,efficient_action_decoding,efficient driving 模式绕过推理时文本自回归，单次前向输出动作,Table 7：DS/SR 仍 88.49/73.03；fps 2.20→5.35,"https://arxiv.org/pdf/2609.18623#page=11 (Table 7, PDF p.11)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=FIVE-VLA&type=repositories,报告的收益为速度，没有独立 DS 增益
W5-009,bench2drive,FIVE-VLA,recurrent_action_memory,RAM 用前一时刻 action token 作记忆；推理采用累积模式,Table 7：DS 88.49→90.95，SR 73.03→77.27；Table 8 对比推理模式,"https://arxiv.org/pdf/2609.18623#page=11 (Tables 7–8, PDF p.11)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=FIVE-VLA&type=repositories,
W5-010,bench2drive,RoG-DAgger,dagger_expert_posttraining,在 student 闭环访问状态查询特权 expert；混合新旧数据做 DAgger 后训练,Table 1：SimLingo 基线到 RoG-DAgger DS +5.3，SR +6.2 个百分点,"https://arxiv.org/pdf/2608.24525#page=6 (Table 1, PDF p.6); https://arxiv.org/pdf/2608.24525#page=3",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=RoG-DAgger&type=repositories,论文还报告 Longest6 与 Fail2Drive；不等同 Bench2Drive 增益。实现也把原 SimLingo 的 InternVL-2 backbone 换成 Qwen3-VL-2B，这一跨行差值不是严格单因素 DAgger 消融
W5-011,bench2drive,RoG-DAgger,dagger_expert_posttraining,用自车/他车短时动力学 rollout 扩充 expert 轨迹和速度候选，形成可预防失误的监督,Table 3 消融轨迹-速度扩展,"https://arxiv.org/pdf/2608.24525#page=6 (Fig. 2 p.2; Table 3 p.6, PDF p.6)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=RoG-DAgger&type=repositories,expert 在训练阶段，未表明测试时特权访问
W5-012,bench2drive,RoG-DAgger,dagger_expert_posttraining,通过 rollout 可挽回性决定 expert 接管时点，并对齐 expert/student 可见范围,Table 3 分别消融 solvability-aware trigger 与 FoV alignment,"https://arxiv.org/pdf/2608.24525#page=6 (Table 3, PDF p.6)",仅论文披露，无代码可核,未检出对应官方方法仓库；仅论文可核,2026-09-24,https://github.com/search?q=RoG-DAgger&type=repositories,与训练后模型性能关系由表给出；不同触发策略不可直接归因于单独 expert
W5-013,carla_lb2,CarLLaVA,metric_early_termination,按已行驶距离主动停止路线，且靠近路口时根据转向角避免在路口停下；论文明确以 DS 性质作动机,Table 2c：1300m DS 3.93，2100m 6.87，2400m 6.35,"https://arxiv.org/pdf/2406.10165#page=4 (Table 2c; Metrics and Implementation Details, PDF p.4)",仅论文披露，无代码可核,同仓库公开 SimLingo-Base 训练目录及共用闭环 agent；未找到能对应旧 CarLLaVA 官方 6.87 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,论文 p.5 另报重复提交方差；不能把单次最优当稳定效应
W5-014,carla_lb2,CarLLaVA,output_representation,预测 path 与 target speed 的半解耦输出，path 用于横向控制,Table 2a：waypoint-only DS 3.21→+Path 4.49,"https://arxiv.org/pdf/2406.10165#page=4 (Table 2a, PDF p.4)",仅论文披露，无代码可核,同仓库公开 SimLingo-Base 训练目录及共用闭环 agent；未找到能对应旧 CarLLaVA 官方 6.87 DS 的 checkpoint/提交配置,2026-09-24,https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L86-L93; https://github.com/RenzKa/simlingo/blob/743b243afd6cf5ff51b9fa1f8cac86f22d569684/README.md#L193,论文将静态布局碰撞 0.68→0.0 也列在同表
