board,rank,method,venue_year,score,ranking_source_url,snapshot_date,repo_url,code_grade,selected,not_selected_reason,split_protocol_note
bench2drive,1,TFv6,CVPR 2026,DS 95.28,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,https://github.com/kesai-labs/lead,A,yes,,Bench2Drive 0.0.3，自报 DS。
bench2drive,2,LinkVLA,2026,DS 91.01,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,,C,no,未找到该模型可审计的官方代码仓库,Bench2Drive 0.0.3，自报 DS。
bench2drive,3,SteerVLA,2026,DS 91.00,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,,C,no,仅项目页，未找到公开训练或 agent 代码,Bench2Drive 0.0.3，自报 DS。
bench2drive,4,FIVE-VLA,2026,DS 90.95,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,,C,no,新论文未找到公开代码,Bench2Drive 0.0.3，自报 DS。
bench2drive,5,BLUE,EMNLP 2026,DS 90.58,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,https://github.com/George-Ling3/BLUE,B,yes,,Bench2Drive 0.0.3，自报 DS。
bench2drive,6,RoG-DAgger,2026,DS 90.34,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,,C,no,未找到官方代码,Bench2Drive 0.0.3，自报 DS。
bench2drive,7,SparseDriveV2,ECCV 2026,DS 89.15,https://github.com/autonomousvision/Bench2Drive-Leaderboard/blob/main/README.md,2026-09-24,https://github.com/swc-17/SparseDriveV2,A,yes,,Bench2Drive 0.0.3，自报 DS；固定 bench2drive 分支 e42ea59，而 main 只有 NAVSIM 路径。
carla_lb2,1,CarLLaVA,2024,official DS 6.87,https://www.sota2.com/research/sota/autonomous-driving-on-carla-leaderboard-2-0-official-leaderboard,2026-09-24,https://github.com/RenzKa/simlingo,C,no,公开 main 无可对应该旧方法及官方分数的闭环推理/评测入口；仅 full SimLingo agent，Base 有训练模块,官方网页表格为空；SOTA2 转录官方提交。SENSORS/MAP 不直接比较。
carla_lb2,2,SimLingo-BASE,CVPR 2025,official DS 6.25,https://www.sota2.com/research/sota/autonomous-driving-on-carla-leaderboard-2-0-official-leaderboard,2026-09-24,https://github.com/RenzKa/simlingo,C,no,公开 main 无可对应该旧方法及官方分数的闭环推理/评测入口；仅 full SimLingo agent，Base 有训练模块,官方网页表格为空；SOTA2 转录官方提交。SENSORS/MAP 不直接比较。
carla_lb2,3,TF++,2024,official DS 5.56 MAP,https://www.sota2.com/research/sota/autonomous-driving-on-carla-leaderboard-2-0-official-leaderboard,2026-09-24,https://github.com/autonomousvision/carla_garage,A,yes,,官方网页表格为空；SOTA2 转录与 SimLingo 论文 Table 1 的 MAP 5.56 一致。公开脚本默认 SENSORS，MAP 对应提交配置未证实；两 track 不混比。
